Date,Close/Last,Open,High,Low
05/25/2023,1754.60,1767.10,1767.10,1741.24
05/24/2023,1767.00,1787.71,1787.71,1761.20
05/23/2023,1787.71,1792.33,1816.40,1787.52
05/22/2023,1795.38,1777.64,1801.39,1776.96
05/19/2023,1773.72,1795.99,1800.52,1769.02
05/18/2023,1784.86,1770.82,1787.36,1766.29
05/17/2023,1774.50,1744.11,1776.90,1737.39
05/16/2023,1736.18,1755.16,1755.16,1736.16
05/15/2023,1761.55,1744.66,1768.75,1744.21
05/12/2023,1740.85,1748.14,1753.23,1731.34
05/11/2023,1744.71,1748.89,1749.44,1736.84
05/10/2023,1759.51,1769.58,1772.93,1743.63
05/09/2023,1749.68,1747.44,1756.09,1737.70
05/08/2023,1754.47,1766.42,1768.21,1748.32
05/05/2023,1759.88,1742.52,1763.78,1742.52
05/04/2023,1718.81,1727.24,1728.39,1704.82
05/03/2023,1739.28,1735.69,1767.70,1735.69
05/02/2023,1732.11,1761.15,1761.15,1716.22
05/01/2023,1769.21,1765.45,1785.20,1764.32
04/28/2023,1768.99,1749.85,1773.02,1746.84
04/27/2023,1751.22,1733.40,1752.00,1726.77
04/26/2023,1730.41,1741.29,1747.28,1725.82
04/25/2023,1745.95,1779.33,1779.33,1745.91
04/24/2023,1788.87,1790.25,1797.61,1781.67
04/21/2023,1791.51,1790.56,1793.31,1777.40
04/20/2023,1789.70,1790.69,1797.47,1782.35
04/19/2023,1799.44,1789.99,1802.79,1782.72
04/18/2023,1795.55,1807.24,1809.59,1787.00
04/17/2023,1802.84,1784.38,1802.84,1784.12
04/14/2023,1781.15,1798.15,1805.02,1770.56
04/13/2023,1796.68,1778.47,1800.64,1778.47
04/12/2023,1773.70,1793.66,1803.19,1772.39
04/11/2023,1786.59,1776.90,1794.45,1776.90
04/10/2023,1772.44,1749.31,1773.23,1745.46
04/06/2023,1754.46,1753.11,1758.43,1744.50
04/05/2023,1752.13,1764.22,1764.22,1742.78
04/04/2023,1769.65,1804.48,1806.70,1760.99
04/03/2023,1802.31,1804.02,1812.37,1783.47
03/31/2023,1802.48,1775.05,1802.70,1775.05
03/30/2023,1768.38,1778.68,1787.64,1762.34
03/29/2023,1771.60,1763.13,1771.71,1759.05
03/28/2023,1752.63,1749.63,1759.47,1745.13
03/27/2023,1753.67,1747.93,1762.65,1742.06
03/24/2023,1734.92,1711.45,1735.76,1695.23
03/23/2023,1720.29,1733.50,1758.91,1706.34
03/22/2023,1727.36,1776.51,1779.72,1726.61
03/21/2023,1777.74,1761.87,1788.37,1761.87
03/20/2023,1744.99,1733.51,1761.74,1733.51
03/17/2023,1725.89,1765.16,1765.16,1720.92
03/16/2023,1771.24,1733.50,1781.10,1717.59
03/15/2023,1745.94,1763.72,1763.72,1716.67
03/14/2023,1776.89,1770.65,1802.12,1760.08
03/13/2023,1744.30,1755.04,1773.53,1722.85
03/10/2023,1772.70,1821.68,1821.68,1756.82
03/09/2023,1826.59,1879.22,1883.02,1826.29
03/08/2023,1879.48,1880.27,1886.54,1866.07
03/07/2023,1878.72,1899.24,1902.11,1875.79
03/06/2023,1899.76,1928.08,1928.70,1892.46
03/03/2023,1928.26,1906.46,1931.71,1901.98
03/02/2023,1902.66,1888.43,1905.35,1877.58
03/01/2023,1898.43,1896.14,1904.44,1888.73
02/28/2023,1896.99,1896.70,1913.18,1896.44
02/27/2023,1896.27,1902.00,1914.60,1891.89
02/24/2023,1890.49,1891.38,1891.62,1875.81
02/23/2023,1908.09,1902.72,1915.31,1884.31
02/22/2023,1894.67,1890.83,1904.48,1885.11
02/21/2023,1888.21,1937.05,1937.05,1888.21
02/17/2023,1946.36,1943.64,1947.85,1928.39
02/16/2023,1942.21,1946.05,1962.46,1933.14
02/15/2023,1960.97,1929.73,1960.97,1924.91
02/14/2023,1939.91,1933.90,1951.98,1920.50
02/13/2023,1941.14,1919.89,1942.70,1913.60
02/10/2023,1918.81,1910.66,1920.85,1903.72
02/09/2023,1915.34,1954.88,1963.85,1912.24
02/08/2023,1942.60,1964.89,1968.92,1940.29
02/07/2023,1972.61,1952.65,1975.83,1936.33
02/06/2023,1957.72,1976.09,1976.09,1952.19
02/03/2023,1985.53,1989.12,2005.55,1976.06
02/02/2023,2001.22,1968.03,2007.31,1968.03
02/01/2023,1960.81,1929.47,1976.87,1921.52
01/31/2023,1931.94,1888.83,1931.94,1888.83
01/30/2023,1885.72,1903.10,1909.34,1885.43
01/27/2023,1911.46,1899.82,1918.59,1896.24
01/26/2023,1903.06,1899.88,1909.42,1882.71
01/25/2023,1890.32,1873.62,1890.73,1858.99
01/24/2023,1885.61,1887.81,1892.71,1878.33
01/23/2023,1890.77,1868.96,1896.20,1867.49
01/20/2023,1867.34,1847.68,1867.34,1836.63
01/19/2023,1836.35,1846.35,1903.87,1825.58
01/18/2023,1854.36,1890.09,1903.87,1854.32
01/17/2023,1884.29,1886.64,1892.42,1880.74
01/13/2023,1887.03,1867.50,1889.15,1861.74
01/12/2023,1876.06,1850.25,1876.06,1839.09
01/11/2023,1844.05,1827.12,1844.16,1826.52
01/10/2023,1822.65,1794.29,1822.65,1793.19
01/09/2023,1795.91,1801.07,1817.09,1794.54
01/06/2023,1792.80,1764.33,1795.56,1758.50
01/05/2023,1753.19,1766.08,1781.97,1745.38
01/04/2023,1772.54,1758.09,1781.97,1758.09
01/03/2023,1750.73,1769.75,1785.95,1737.26
12/30/2022,1761.25,1759.26,1763.93,1747.23
12/29/2022,1766.25,1727.33,1767.91,1727.33
12/28/2022,1722.02,1749.93,1753.93,1722.02
12/27/2022,1749.52,1761.38,1761.65,1745.44
12/23/2022,1760.93,1753.20,1761.24,1743.74
12/22/2022,1754.09,1766.67,1766.67,1726.81
12/21/2022,1776.94,1757.69,1784.11,1757.69
12/20/2022,1748.02,1735.47,1755.08,1733.21
12/19/2022,1738.58,1763.94,1765.54,1733.82
12/16/2022,1763.42,1759.55,1765.64,1746.25
12/15/2022,1774.61,1806.74,1806.74,1770.56
12/14/2022,1820.45,1831.23,1845.77,1812.30
12/13/2022,1832.36,1851.83,1880.76,1823.00
12/12/2022,1818.61,1798.79,1820.50,1793.11
12/09/2022,1796.66,1812.15,1815.81,1796.66
12/08/2022,1818.29,1815.71,1833.75,1808.85
12/07/2022,1806.90,1809.17,1822.70,1805.66
12/06/2022,1812.58,1839.53,1839.53,1802.95
12/05/2022,1840.22,1886.01,1886.01,1834.42
12/02/2022,1892.84,1863.94,1898.45,1856.48
12/01/2022,1881.68,1891.98,1898.27,1876.93
11/30/2022,1886.58,1839.13,1886.58,1821.47
11/29/2022,1836.55,1832.52,1846.07,1832.52
11/28/2022,1830.96,1857.18,1857.52,1827.08
11/25/2022,1869.19,1862.92,1873.59,1861.00
11/23/2022,1863.52,1857.59,1868.92,1851.68
11/22/2022,1860.44,1843.87,1861.08,1840.04
11/21/2022,1839.14,1842.96,1842.96,1828.99
11/18/2022,1849.73,1861.73,1869.34,1840.88
11/17/2022,1839.12,1837.27,1839.84,1820.71
11/16/2022,1853.17,1879.74,1879.74,1850.72
11/15/2022,1889.20,1885.97,1905.84,1878.08
11/14/2022,1861.25,1875.65,1889.41,1861.25
11/11/2022,1882.74,1872.92,1899.96,1872.92
11/10/2022,1867.93,1811.28,1868.28,1811.28
11/09/2022,1760.40,1796.36,1796.85,1757.45
11/08/2022,1808.93,1815.52,1831.20,1790.88
11/07/2022,1809.81,1808.08,1814.76,1793.99
11/04/2022,1799.87,1800.81,1809.64,1771.11
11/03/2022,1779.73,1768.46,1791.81,1758.05
11/02/2022,1789.14,1845.08,1861.57,1789.13
11/01/2022,1851.39,1864.95,1868.75,1845.93
10/31/2022,1846.86,1839.17,1854.57,1833.59
10/28/2022,1846.92,1811.62,1848.25,1804.82
10/27/2022,1806.32,1815.52,1832.09,1804.70
10/26/2022,1804.33,1801.99,1836.06,1801.29
10/25/2022,1796.16,1749.61,1801.20,1749.61
10/24/2022,1748.40,1747.68,1751.44,1727.20
10/21/2022,1742.24,1709.61,1744.90,1700.63
10/20/2022,1704.39,1726.55,1746.29,1699.98
10/19/2022,1725.76,1746.97,1746.97,1710.21
10/18/2022,1755.96,1756.36,1782.07,1744.00
10/17/2022,1735.75,1701.16,1738.70,1701.16
10/14/2022,1682.40,1741.32,1747.84,1681.50
10/13/2022,1728.41,1653.95,1734.27,1641.94
10/12/2022,1687.76,1692.96,1696.79,1671.88
10/11/2022,1692.92,1687.60,1713.74,1664.91
10/10/2022,1691.92,1706.16,1706.83,1681.98
10/07/2022,1702.15,1734.65,1734.92,1694.96
10/06/2022,1752.51,1756.42,1772.25,1747.03
10/05/2022,1762.69,1748.79,1767.82,1732.09
10/04/2022,1775.77,1735.82,1775.77,1735.82
10/03/2022,1708.87,1687.28,1717.29,1671.62
09/30/2022,1664.72,1672.89,1707.75,1664.27
09/29/2022,1674.93,1710.82,1710.82,1656.41
09/28/2022,1715.24,1668.79,1725.28,1668.79
09/27/2022,1662.51,1669.17,1689.53,1650.71
09/26/2022,1655.88,1674.34,1701.24,1653.43
09/23/2022,1679.59,1707.61,1707.61,1658.66
09/22/2022,1722.31,1760.15,1760.31,1716.21
09/21/2022,1762.16,1796.20,1813.66,1761.97
09/20/2022,1787.50,1801.49,1801.49,1776.31
09/19/2022,1812.84,1785.72,1813.94,1777.27
09/16/2022,1798.19,1813.86,1813.86,1778.77
09/15/2022,1825.23,1830.97,1853.03,1818.41
09/14/2022,1838.46,1832.69,1840.59,1817.52
09/13/2022,1831.57,1879.54,1879.54,1825.42
09/12/2022,1906.09,1889.80,1906.09,1889.80
09/09/2022,1882.85,1857.14,1884.90,1857.14
09/08/2022,1846.91,1823.49,1846.91,1810.51
09/07/2022,1832.00,1789.56,1832.57,1787.43
09/06/2022,1792.32,1813.18,1815.15,1786.68
09/02/2022,1809.75,1844.17,1846.98,1802.14
09/01/2022,1822.82,1826.75,1826.75,1799.17
08/31/2022,1844.12,1859.18,1865.28,1843.08
08/30/2022,1855.59,1889.16,1889.35,1847.54
08/29/2022,1882.94,1880.63,1898.67,1879.13
08/26/2022,1899.83,1965.23,1965.31,1898.51
08/25/2022,1964.64,1944.38,1964.64,1943.20
08/24/2022,1935.29,1918.65,1941.15,1916.58
08/23/2022,1919.14,1920.13,1937.97,1917.32
08/22/2022,1915.74,1931.71,1933.69,1911.69
08/19/2022,1957.35,1992.30,1992.30,1952.50
08/18/2022,2000.73,1987.82,2003.01,1982.59
08/17/2022,1987.31,2008.88,2008.88,1976.14
08/16/2022,2020.53,2018.74,2030.05,2003.78
08/15/2022,2021.35,2007.41,2022.03,1994.68
08/12/2022,2016.62,1978.79,2016.62,1978.67
08/11/2022,1975.26,1981.93,2005.21,1972.63
08/10/2022,1969.25,1935.77,1970.95,1935.77
08/09/2022,1912.89,1937.25,1937.25,1904.97
08/08/2022,1941.21,1928.41,1959.13,1928.41
08/05/2022,1921.82,1887.54,1922.55,1884.18
08/04/2022,1906.46,1908.52,1911.57,1899.46
08/03/2022,1908.93,1895.38,1912.77,1891.05
08/02/2022,1882.45,1875.50,1900.73,1875.05
08/01/2022,1883.31,1885.23,1892.97,1859.88
07/29/2022,1885.23,1874.17,1888.22,1865.76
07/28/2022,1873.03,1854.18,1873.74,1832.77
07/27/2022,1848.34,1814.28,1852.86,1814.14
07/26/2022,1805.25,1812.50,1812.50,1800.29
07/25/2022,1817.77,1810.95,1819.10,1798.82
07/22/2022,1806.88,1839.36,1842.20,1795.29
07/21/2022,1836.69,1819.77,1836.69,1804.98
07/20/2022,1827.95,1797.94,1829.91,1797.94
07/19/2022,1799.32,1754.73,1800.01,1754.73
07/18/2022,1738.42,1758.90,1772.80,1734.22
07/15/2022,1744.37,1724.10,1744.37,1708.90
07/14/2022,1707.51,1712.29,1712.29,1684.85
07/13/2022,1726.04,1715.47,1732.60,1700.94
07/12/2022,1728.18,1728.52,1743.17,1719.24
07/11/2022,1732.01,1765.60,1765.60,1729.65
07/08/2022,1769.36,1767.58,1780.13,1752.94
07/07/2022,1769.60,1736.01,1772.30,1736.01
07/06/2022,1727.55,1738.69,1747.93,1712.16
07/05/2022,1741.33,1714.86,1741.34,1681.58
07/01/2022,1727.76,1705.07,1728.91,1690.91
06/30/2022,1707.99,1706.48,1722.09,1680.40
06/29/2022,1719.37,1737.83,1737.83,1703.80
06/28/2022,1738.84,1778.62,1792.58,1738.81
06/27/2022,1771.74,1772.89,1781.46,1758.31
06/24/2022,1765.74,1720.04,1765.74,1720.04
06/23/2022,1711.67,1693.27,1714.04,1680.55
06/22/2022,1690.28,1678.51,1703.38,1665.54
06/21/2022,1694.03,1681.10,1711.74,1681.10
06/17/2022,1665.69,1657.01,1684.55,1652.02
06/16/2022,1649.84,1707.85,1707.85,1641.47
06/15/2022,1731.14,1718.15,1751.50,1704.42
06/14/2022,1707.83,1717.33,1723.19,1692.32
06/13/2022,1714.59,1770.50,1770.50,1708.26
06/10/2022,1800.28,1833.15,1833.15,1792.60
06/09/2022,1850.86,1884.96,1884.96,1850.67
06/08/2022,1891.01,1913.97,1916.08,1883.26
06/07/2022,1919.56,1879.77,1919.73,1870.94
06/06/2022,1889.89,1893.45,1903.51,1881.73
06/03/2022,1883.05,1886.61,1889.45,1872.23
06/02/2022,1897.67,1855.35,1897.67,1854.51
06/01/2022,1854.82,1871.46,1877.49,1830.20
05/31/2022,1864.04,1882.00,1883.19,1856.56
05/27/2022,1887.90,1845.24,1887.90,1845.24
05/26/2022,1838.24,1808.64,1847.83,1808.64
05/25/2022,1799.16,1760.42,1807.43,1759.20
05/24/2022,1764.83,1780.20,1780.20,1736.11
05/23/2022,1792.76,1786.43,1799.27,1769.12
05/20/2022,1773.27,1784.08,1797.44,1730.88
05/19/2022,1776.22,1769.84,1797.23,1759.66
05/18/2022,1774.85,1834.15,1834.15,1765.25
05/17/2022,1840.30,1796.36,1840.30,1796.36
05/16/2022,1783.43,1790.61,1802.63,1778.67
05/13/2022,1792.67,1748.24,1804.38,1748.24
05/12/2022,1739.38,1714.06,1752.55,1701.15
05/11/2022,1718.14,1763.02,1791.85,1715.77
05/10/2022,1761.79,1771.46,1794.64,1727.38
05/09/2022,1762.08,1833.48,1833.48,1754.21
05/06/2022,1839.56,1867.73,1867.73,1821.10
05/05/2022,1871.15,1935.64,1935.64,1849.45
05/04/2022,1949.92,1904.09,1952.75,1875.36
05/03/2022,1898.86,1882.58,1907.30,1875.98
05/02/2022,1882.91,1863.66,1888.84,1839.25
04/29/2022,1864.10,1914.36,1928.32,1860.58
04/28/2022,1917.94,1891.92,1927.48,1864.42
04/27/2022,1884.04,1891.11,1909.11,1879.65
04/26/2022,1890.47,1940.08,1940.08,1890.47
04/25/2022,1954.20,1933.24,1954.40,1908.82
04/22/2022,1940.66,1986.66,1986.66,1939.34
04/21/2022,1991.46,2046.71,2060.08,1986.91
04/20/2022,2038.19,2032.39,2052.08,2032.39
04/19/2022,2038.19,2032.39,2052.08,2032.39
04/18/2022,1990.13,2003.27,2003.27,1981.69
04/14/2022,2004.98,2025.17,2034.22,2004.97
04/13/2022,2025.10,1987.33,2028.79,1987.33
04/12/2022,1986.94,1983.13,2027.55,1980.96
04/11/2022,1980.32,1993.53,2004.68,1976.59
04/08/2022,1994.56,2009.06,2017.08,1993.04
04/07/2022,2009.80,2016.88,2024.00,1984.15
04/06/2022,2016.94,2044.81,2044.81,2005.05
04/05/2022,2046.04,2095.00,2103.36,2043.08
04/04/2022,2095.44,2091.53,2096.92,2076.50
04/01/2022,2091.11,2071.22,2091.73,2068.05
03/31/2022,2070.13,2090.91,2100.74,2069.22
03/30/2022,2091.07,2132.83,2132.83,2084.37
03/29/2022,2133.10,2079.31,2138.45,2079.31
03/28/2022,2078.06,2078.30,2078.30,2049.54
03/25/2022,2077.98,2075.89,2081.32,2064.20
03/24/2022,2075.44,2054.10,2075.49,2047.26
03/23/2022,2052.21,2086.70,2086.70,2051.45
03/22/2022,2088.34,2066.92,2097.61,2066.92
03/21/2022,2065.94,2085.82,2093.38,2054.78
03/18/2022,2086.14,2064.69,2087.55,2059.69
03/17/2022,2065.02,2029.88,2065.02,2019.21
03/16/2022,2030.72,1970.11,2031.80,1970.11
03/15/2022,1968.97,1942.08,1983.43,1932.71
03/14/2022,1941.72,1979.79,1983.43,1932.71
03/11/2022,1979.67,2012.44,2027.39,1979.07
03/10/2022,2011.67,2013.62,2013.62,1982.11
03/09/2022,2016.29,1964.45,2022.55,1964.45
03/08/2022,1963.01,1951.59,2004.48,1951.59
03/07/2022,1951.33,2001.03,2007.46,1951.21
03/04/2022,2000.90,2031.16,2031.16,1985.51
03/03/2022,2032.41,2059.15,2067.28,2019.98
03/02/2022,2058.87,2009.01,2065.71,2009.01
03/01/2022,2008.51,2047.24,2050.65,1995.42
02/28/2022,2048.09,2040.31,2059.44,2020.51
02/25/2022,2040.93,1995.84,2040.93,1988.01
02/24/2022,1996.01,1942.30,1996.84,1894.45
02/23/2022,1944.09,1980.99,2001.55,1942.27
02/22/2022,1980.17,2008.68,2016.43,1970.63
02/18/2022,2009.33,2028.00,2038.13,2004.73
02/17/2022,2028.09,2078.50,2078.50,2025.12
02/16/2022,2079.31,2075.63,2084.98,2060.32
02/15/2022,2076.46,2022.22,2078.33,2022.22
02/14/2022,2020.79,2030.18,2048.26,2011.37
02/11/2022,2030.15,2051.26,2074.06,2016.41
02/10/2022,2051.16,2082.51,2105.21,2039.62
02/09/2022,2083.50,2046.76,2083.50,2046.76
02/08/2022,2045.37,2012.46,2047.82,2011.37
02/07/2022,2012.60,2002.38,2027.91,2000.40
02/04/2022,2002.36,1990.92,2016.38,1968.61
02/03/2022,1991.03,2027.73,2027.73,1988.41
02/02/2022,2029.52,2051.64,2054.72,2013.59
02/01/2022,2050.74,2028.78,2052.85,2003.38
01/31/2022,2028.45,1968.09,2028.45,1960.11
01/28/2022,1968.51,1931.14,1968.51,1901.36
01/27/2022,1931.29,1978.08,2007.23,1925.45
01/26/2022,1976.46,2006.04,2048.35,1958.34
01/25/2022,2004.03,2030.82,2030.84,1966.10
01/24/2022,2033.51,1986.45,2038.66,1931.44
01/21/2022,1987.92,2022.55,2043.51,1987.91
01/20/2022,2024.04,2063.86,2104.59,2022.20
01/19/2022,2062.78,2097.56,2109.23,2062.18
01/18/2022,2096.23,2160.35,2160.35,2094.93
01/14/2022,2162.46,2157.99,2162.46,2126.12
01/13/2022,2159.44,2177.06,2196.74,2154.46
01/12/2022,2176.06,2194.94,2210.28,2169.42
01/11/2022,2194.00,2171.17,2196.65,2154.81
01/10/2022,2171.15,2179.07,2179.81,2133.13
01/07/2022,2179.81,2206.14,2220.13,2179.81
01/06/2022,2206.37,2194.48,2220.59,2179.29
01/05/2022,2194.00,2268.92,2275.32,2193.72
01/04/2022,2268.87,2273.18,2288.30,2255.71
01/03/2022,2272.56,2246.71,2284.14,2246.71
12/31/2021,2245.31,2245.93,2258.11,2244.85
12/30/2021,2248.79,2249.35,2271.82,2247.47
12/29/2021,2249.24,2246.35,2252.79,2236.65
12/28/2021,2246.51,2261.04,2274.54,2245.57
12/27/2021,2261.46,2242.48,2261.89,2230.33
12/23/2021,2241.58,2222.25,2247.63,2222.25
12/22/2021,2221.90,2202.43,2222.51,2195.42
12/21/2021,2202.95,2141.41,2203.02,2141.41
12/20/2021,2139.87,2170.97,2170.97,2107.68
12/17/2021,2173.93,2152.51,2186.36,2124.74
12/16/2021,2152.46,2196.82,2216.09,2144.70
12/15/2021,2195.21,2159.88,2199.86,2130.91
12/14/2021,2159.65,2178.92,2189.71,2153.21
12/13/2021,2180.50,2211.59,2211.59,2169.01
12/10/2021,2211.81,2221.43,2240.38,2200.10
12/09/2021,2220.21,2270.27,2270.27,2220.18
12/08/2021,2271.71,2254.31,2276.75,2248.24
12/07/2021,2253.79,2206.77,2271.71,2206.77
12/06/2021,2203.48,2160.16,2218.27,2154.62
12/03/2021,2159.31,2207.06,2216.18,2143.12
12/02/2021,2206.33,2147.62,2211.66,2147.62
12/01/2021,2147.42,2203.12,2253.37,2147.40
11/30/2021,2198.91,2241.05,2241.05,2175.68
11/29/2021,2241.98,2248.90,2281.28,2232.09
11/26/2021,2245.94,2328.98,2328.98,2215.24
11/24/2021,2331.46,2326.70,2334.37,2303.94
11/23/2021,2327.86,2331.25,2342.63,2303.37
11/22/2021,2331.35,2343.67,2369.63,2331.35
11/19/2021,2343.16,2362.44,2362.44,2341.57
11/18/2021,2363.59,2377.60,2385.99,2348.52
11/17/2021,2377.01,2404.21,2404.21,2369.11
11/16/2021,2405.02,2397.77,2408.34,2386.51
11/15/2021,2400.93,2412.04,2421.07,2392.89
11/12/2021,2411.78,2409.46,2417.20,2405.83
11/11/2021,2409.14,2390.50,2418.83,2390.50
11/10/2021,2389.58,2426.44,2428.97,2380.76
11/09/2021,2427.29,2442.22,2442.22,2414.43
11/08/2021,2442.74,2438.36,2458.86,2438.06
11/05/2021,2437.08,2403.13,2449.14,2403.13
11/04/2021,2402.43,2404.68,2423.83,2395.50
11/03/2021,2404.28,2361.82,2413.39,2355.18
11/02/2021,2361.86,2358.25,2363.55,2345.40
11/01/2021,2358.12,2298.08,2358.64,2298.08
10/29/2021,2297.19,2296.74,2302.35,2287.86
10/28/2021,2297.98,2253.90,2298.76,2253.90
10/27/2021,2252.49,2295.45,2295.45,2252.49
10/26/2021,2296.08,2313.35,2321.47,2296.07
10/25/2021,2312.64,2291.80,2314.84,2291.80
10/22/2021,2291.27,2295.67,2299.73,2277.04
10/21/2021,2296.18,2290.41,2304.00,2284.97
10/20/2021,2289.77,2276.02,2294.92,2271.84
10/19/2021,2275.91,2269.25,2284.67,2265.70
10/18/2021,2267.84,2265.06,2272.35,2255.41
10/15/2021,2265.65,2276.74,2306.27,2265.65
10/14/2021,2274.18,2243.95,2275.51,2243.95
10/13/2021,2241.97,2235.02,2241.97,2220.24
10/12/2021,2234.27,2221.55,2241.40,2221.55
10/11/2021,2220.64,2233.00,2251.65,2220.64
10/08/2021,2233.09,2250.32,2256.56,2233.09
10/07/2021,2250.09,2217.58,2265.22,2217.58
10/06/2021,2214.96,2226.05,2226.05,2188.69
10/05/2021,2228.36,2218.47,2245.03,2218.47
10/04/2021,2217.47,2240.85,2240.85,2210.61
10/01/2021,2241.63,2205.91,2252.04,2197.15
09/30/2021,2204.37,2226.74,2239.54,2204.37
09/29/2021,2225.31,2230.61,2239.75,2221.72
09/28/2021,2229.78,2279.51,2279.51,2227.58
09/27/2021,2281.00,2247.96,2293.35,2247.96
09/24/2021,2248.07,2257.95,2259.93,2239.17
09/23/2021,2259.04,2220.06,2265.81,2220.06
09/22/2021,2218.56,2188.10,2234.17,2188.10
09/21/2021,2186.18,2183.72,2201.71,2172.83
09/20/2021,2182.20,2233.10,2233.10,2155.34
09/17/2021,2236.87,2233.55,2240.73,2220.39
09/16/2021,2232.91,2234.31,2242.84,2217.35
09/15/2021,2234.45,2210.46,2236.96,2207.42
09/14/2021,2209.98,2241.78,2249.94,2204.14
09/13/2021,2240.78,2228.49,2244.72,2217.12
09/10/2021,2227.55,2250.63,2264.11,2227.54
09/09/2021,2249.13,2249.53,2273.18,2244.13
09/08/2021,2249.73,2275.00,2275.00,2241.43
09/07/2021,2275.61,2292.17,2300.59,2275.57
09/03/2021,2292.05,2303.75,2303.75,2286.70
09/02/2021,2304.02,2288.03,2309.97,2288.03
09/01/2021,2287.06,2274.21,2293.05,2264.59
08/31/2021,2273.77,2266.28,2277.19,2260.43
08/30/2021,2265.99,2278.45,2286.36,2264.30
08/27/2021,2277.15,2213.79,2281.84,2213.79
08/26/2021,2213.98,2239.20,2244.44,2212.21
08/25/2021,2239.27,2230.73,2252.14,2226.64
08/24/2021,2230.91,2208.80,2232.00,2208.80
08/23/2021,2208.30,2169.11,2211.12,2169.11
08/20/2021,2167.60,2131.80,2169.65,2127.32
08/19/2021,2132.42,2157.04,2157.04,2122.24
08/18/2021,2158.78,2177.13,2192.16,2157.97
08/17/2021,2177.17,2201.65,2201.65,2152.49
08/16/2021,2203.41,2222.03,2222.03,2192.28
08/13/2021,2223.11,2244.20,2244.20,2221.31
08/12/2021,2244.07,2250.19,2250.63,2232.71
08/11/2021,2250.34,2240.11,2250.37,2221.68
08/10/2021,2239.36,2236.09,2245.03,2230.03
08/09/2021,2234.81,2247.43,2247.43,2231.48
08/06/2021,2247.76,2237.09,2258.32,2235.58
08/05/2021,2236.01,2198.16,2236.19,2198.16
08/04/2021,2196.32,2220.67,2223.10,2195.37
08/03/2021,2223.58,2216.25,2223.60,2189.76
08/02/2021,2215.50,2228.03,2256.44,2212.45
07/30/2021,2226.25,2238.90,2251.37,2219.95
07/29/2021,2240.03,2224.96,2256.97,2224.96
07/28/2021,2224.96,2193.16,2237.04,2190.66
07/27/2021,2191.83,2215.64,2215.64,2171.37
07/26/2021,2216.92,2210.11,2232.22,2207.54
07/23/2021,2209.65,2201.03,2212.31,2186.51
07/22/2021,2199.48,2233.78,2233.78,2192.98
07/21/2021,2234.04,2195.75,2236.94,2195.75
07/20/2021,2194.30,2131.79,2206.63,2107.07
07/19/2021,2130.68,2159.71,2159.71,2107.07
07/16/2021,2163.24,2191.87,2210.50,2160.53
07/15/2021,2190.29,2201.27,2202.75,2166.33
07/14/2021,2202.36,2240.25,2254.81,2201.23
07/13/2021,2238.86,2280.49,2280.49,2238.37
07/12/2021,2281.83,2279.63,2283.46,2262.26
07/09/2021,2280.00,2234.83,2280.01,2234.83
07/08/2021,2231.68,2249.94,2252.72,2192.98
07/07/2021,2252.85,2274.53,2278.10,2235.50
07/06/2021,2274.50,2305.96,2306.91,2256.97
07/02/2021,2305.76,2328.53,2332.95,2302.94
07/01/2021,2329.36,2312.57,2332.28,2312.57
06/30/2021,2310.55,2307.95,2317.30,2295.43
06/29/2021,2308.84,2323.07,2332.28,2305.92
06/28/2021,2322.34,2335.34,2342.19,2307.22
06/25/2021,2334.40,2336.86,2350.22,2334.40
06/24/2021,2333.62,2305.41,2333.66,2305.41
06/23/2021,2303.47,2296.40,2314.30,2296.40
06/22/2021,2295.95,2285.46,2298.36,2266.16
06/21/2021,2286.09,2238.62,2289.76,2238.62
06/18/2021,2237.75,2284.96,2284.96,2229.58
06/17/2021,2287.46,2314.20,2316.60,2264.12
06/16/2021,2314.69,2319.09,2321.91,2296.21
06/15/2021,2320.07,2326.76,2327.87,2301.78
06/14/2021,2326.15,2337.45,2348.64,2320.17
06/11/2021,2335.81,2312.60,2335.81,2312.60
06/10/2021,2311.41,2327.98,2337.76,2305.71
06/09/2021,2327.13,2344.82,2350.70,2325.56
06/08/2021,2343.76,2319.57,2348.35,2316.17
06/07/2021,2319.18,2286.93,2321.64,2286.93
06/04/2021,2286.41,2281.07,2293.68,2277.44
06/03/2021,2279.25,2296.57,2296.57,2257.00
06/02/2021,2297.83,2295.66,2302.22,2285.05
06/01/2021,2294.74,2270.38,2298.72,2270.38
05/28/2021,2278.97,2273.82,2285.07,2210.21
05/27/2021,2273.07,2250.73,2273.07,2207.35
05/26/2021,2249.27,2205.75,2249.27,2205.75
05/25/2021,2205.75,2229.24,2241.62,2205.75
05/24/2021,2227.34,2223.05,2236.87,2210.21
05/21/2021,2215.27,2223.05,2236.87,2210.21
05/20/2021,2207.76,2194.69,2210.92,2184.41
05/19/2021,2193.64,2205.77,2205.77,2159.14
05/18/2021,2210.88,2227.92,2244.43,2210.43
05/17/2021,2227.12,2222.86,2227.46,2197.10
05/14/2021,2224.63,2171.13,2226.39,2171.13
05/13/2021,2170.95,2135.23,2185.24,2133.97
05/12/2021,2135.14,2205.02,2205.02,2132.25
05/11/2021,2206.99,2206.48,2215.69,2157.14
05/10/2021,2212.70,2271.09,2271.24,2212.59
05/07/2021,2271.63,2242.10,2271.81,2240.41
